
C:\Users\Bruno\vscode_projects\_personal\python-workbench>C:\Users\Bruno\AppData\Local\Programs\Python\Python312\exe\\..\python soletra-reverse.py 
4 ASPA
4 LESA
4 LESE
4 PESA
4 PESE
4 RASA
4 SALA
4 SAPE
4 SARA
4 SARE
4 SELA
4 SELE
4 SERA
5 PERSA
5 PRESA
5 RASPA
5 RASPE
5 SAARA
5 SAARA
5 SALSA
5 SALVA
5 SALVE
5 SEARA
5 SELVA
5 SERRA
5 SERRE
5 SERVA
5 SERVE
5 VALSA
5 VERSA
5 VERSE
5 VESPA
6 APRESA
6 APRESE
6 ARRASA
6 ARRASE
6 ASPERA
6 ESPERA
6 ESPERE
6 LESARA
6 PESARA
6 SARARA
6 SELARA
6 SEPARA
6 SEPARE
6 SERPEA
6 SEVERA
7 ESPARSA
7 RASPARA
7 RELAPSA
7 REPRESA
7 REPRESE
7 RESERVA
7 RESERVE
7 RESVALA
7 RESVALE
7 REVERSA
7 SALVARA
7 SERRARA
7 VERSARA
7 VESPERA
8 APRESARA
8 ARRASARA
8 ARREVESA
8 ARREVESE
8 ESPERARA
8 PERVERSA
8 PRESERVA
8 PRESERVE
8 SEPARARA
8 SERELEPE
8 SERPEARA
9 PERSEVERA
9 PERSEVERE
9 REPRESARA
9 RESERVARA
9 RESVALARA
10 ARREVESARA
10 PRESERVARA
11 PERSEVERARA
